"productId","language","packageName","version","referenceUrl"
"6","PHP","google/cloud-videointelligence","STABLE","https://cloud.google.com/php/docs/reference/cloud-videointelligence/latest"
"6","PYTHON","google-cloud-videointelligence","STABLE","https://cloud.google.com/python/docs/reference/videointelligence/latest"
"6","RUBY","google-cloud-video_intelligence-v1p3beta1","PREVIEW","https://cloud.google.com/ruby/docs/reference/google-cloud-video_intelligence-v1p3beta1/latest"
"6","RUBY","google-cloud-video_intelligence-v1p1beta1","PREVIEW","https://cloud.google.com/ruby/docs/reference/google-cloud-video_intelligence-v1p1beta1/latest"
"6","RUBY","google-cloud-video_intelligence-v1p2beta1","PREVIEW","https://cloud.google.com/ruby/docs/reference/google-cloud-video_intelligence-v1p2beta1/latest"
"6","RUBY","google-cloud-video_intelligence-v1beta2","PREVIEW","https://cloud.google.com/ruby/docs/reference/google-cloud-video_intelligence-v1beta2/latest"
"6","RUBY","google-cloud-video_intelligence-v1","PREVIEW","https://cloud.google.com/ruby/docs/reference/google-cloud-video_intelligence-v1/latest"
"6","RUBY","google-cloud-video_intelligence","STABLE","https://cloud.google.com/ruby/docs/reference/google-cloud-video_intelligence/latest"
"7","CPP","google-cloud-cpp::texttospeech::v1","STABLE","https://cloud.google.com/cpp/docs/reference/texttospeech/latest"
"7","CSHARP","Google.Cloud.TextToSpeech.V1Beta1","STABLE","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.TextToSpeech.V1Beta1/latest"
"7","CSHARP","Google.Cloud.TextToSpeech.V1","STABLE","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.TextToSpeech.V1/latest"
"7","GO","texttospeech/apiv1","STABLE","https://cloud.google.com/go/docs/reference/cloud.google.com/go/texttospeech/latest/apiv1"
"7","JAVA","google-cloud-texttospeech","STABLE","https://cloud.google.com/java/docs/reference/google-cloud-texttospeech/latest/overview"
"7","NODEJS","@google-cloud/text-to-speech","STABLE","https://googleapis.dev/nodejs/text-to-speech/latest"
"7","PHP","google/cloud-text-to-speech","STABLE","https://cloud.google.com/php/docs/reference/cloud-text-to-speech/latest"
"7","PYTHON","google-cloud-texttospeech","STABLE","https://cloud.google.com/python/docs/reference/texttospeech/latest"
"7","RUBY","google-cloud-text_to_speech-v1beta1","PREVIEW","https://cloud.google.com/ruby/docs/reference/google-cloud-text_to_speech-v1beta1/latest"
"7","RUBY","google-cloud-text_to_speech-v1","PREVIEW","https://cloud.google.com/ruby/docs/reference/google-cloud-text_to_speech-v1/latest"
"7","RUBY","google-cloud-text_to_speech","STABLE","https://cloud.google.com/ruby/docs/reference/google-cloud-text_to_speech/latest"
"8","CPP","google-cloud-cpp::dialogflow_es","STABLE","https://cloud.google.com/cpp/docs/reference/dialogflow_es/latest"
"8","CPP","google-cloud-cpp::dialogflow_cx","STABLE","https://cloud.google.com/cpp/docs/reference/dialogflow_cx/latest"
"8","CSHARP","Google.Cloud.Dialogflow.V2Beta1","PREVIEW","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.Dialogflow.V2Beta1/latest"
"8","CSHARP","Google.Cloud.Dialogflow.Cx.V3","STABLE","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.Dialogflow.Cx.V3/latest"
"8","CSHARP","Google.Cloud.Dialogflow.V2","STABLE","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.Dialogflow.V2/latest"
"8","GO","dialogflow/cx/apiv3beta1","PREVIEW","https://cloud.google.com/go/docs/reference/cloud.google.com/go/dialogflow/latest/cx/apiv3beta1"
"8","GO","dialogflow/cx/apiv3","STABLE","https://cloud.google.com/go/docs/reference/cloud.google.com/go/dialogflow/latest/cx/apiv3"
"8","GO","dialogflow/apiv2","STABLE","https://cloud.google.com/go/docs/reference/cloud.google.com/go/dialogflow/latest/apiv2"
"8","JAVA","google-cloud-dialogflow-cx","PREVIEW","https://cloud.google.com/java/docs/reference/google-cloud-dialogflow-cx/latest/overview"
"8","JAVA","google-cloud-dialogflow","STABLE","https://cloud.google.com/java/docs/reference/google-cloud-dialogflow/latest/overview"
"8","NODEJS","@google-cloud/dialogflow-cx","STABLE","https://googleapis.dev/nodejs/dialogflow-cx/latest"
